ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.0312,0.1719,-0.9844,0.0,0.0,0.0,0.9998,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1719,-0.9688,0.0,0.0,0.0,0.984,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1719,-0.9531,0.0,0.0,0.0,0.9686,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9688,0.0312,-0.0156,0.0,0.0,0.0,0.9694,0.0
-0.9688,0.0312,-0.0156,0.0,0.0,0.0,0.9694,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,-0.0156,0.0,0.0,0.0,0.9846,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,-0.0156,0.0,0.0,0.0,0.9846,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0469,0.0,0.0,0.0,0.0,0.9699,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,-0.0156,0.0,0.0,0.0,0.9846,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,-0.0156,0.0,0.0,0.0,0.9846,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9688,0.0312,-0.0156,0.0,0.0,0.0,0.9694,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0469,0.0,0.0,0.0,0.0,0.9855,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0469,0.0,0.0,0.0,0.0,0.9855,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0156,-0.0156,0.0,0.0,0.0,0.9846,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0469,0.0,0.0,0.0,0.0,0.9855,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0156,0.0,0.0,0.0,0.0,0.9689,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0156,0.0,0.0,0.0,0.0,0.9845,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,-0.0156,0.0,0.0,0.0,0.985,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9688,0.0312,0.0,0.0,0.0,0.0,0.9693,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
-0.9844,0.0312,0.0,0.0,0.0,0.0,0.9849,0.0
